2020-10-11 19:57:10.649 [2 3400river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - 2 3400river ferry was loaded
2020-10-11 19:57:10.649 [River ferry is fullain] INFO  by.epam.thirdtask.entity.RiverFerry - River ferry is full
2020-10-11 19:57:10.649 [PassengerCar called on the wayain] INFO  by.epam.thirdtask.entity.RiverFerry - PassengerCar called on the way
2020-10-11 19:57:10.649 [5 9000river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - 5 9000river ferry was loaded
2020-10-11 19:57:30.652 [FreightCar called on the wayain] INFO  by.epam.thirdtask.entity.RiverFerry - FreightCar called on the way
2020-10-11 19:57:30.652 [2 3400river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - 2 3400river ferry was loaded
2020-10-11 19:57:30.652 [River ferry is fullain] INFO  by.epam.thirdtask.entity.RiverFerry - River ferry is full
2020-10-11 19:57:30.652 [PassengerCar called on the wayain] INFO  by.epam.thirdtask.entity.RiverFerry - PassengerCar called on the way
2020-10-11 19:57:30.652 [5 9000river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - 5 9000river ferry was loaded
2020-10-11 19:57:50.652 [FreightCar called on the wayain] INFO  by.epam.thirdtask.entity.RiverFerry - FreightCar called on the way
2020-10-11 19:57:50.652 [2 3400river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - 2 3400river ferry was loaded
2020-10-11 19:57:50.652 [River ferry is fullain] INFO  by.epam.thirdtask.entity.RiverFerry - River ferry is full
2020-10-11 19:57:50.653 [PassengerCar called on the wayain] INFO  by.epam.thirdtask.entity.RiverFerry - PassengerCar called on the way
2020-10-11 19:57:50.653 [5 9000river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - 5 9000river ferry was loaded
2020-10-11 20:00:15.132 [2 3400 river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - 2 3400 river ferry was loaded
2020-10-11 20:00:15.135 [5 9000 river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - 5 9000 river ferry was loaded
2020-10-11 20:00:35.138 [3 5600 river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - 3 5600 river ferry was loaded
2020-10-11 20:00:35.138 [River ferry is fullain] INFO  by.epam.thirdtask.entity.RiverFerry - River ferry is full
2020-10-11 20:00:35.139 [5 9000 river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - 5 9000 river ferry was loaded
2020-10-11 20:00:55.139 [2 3400 river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - 2 3400 river ferry was loaded
2020-10-11 20:00:55.139 [River ferry is fullain] INFO  by.epam.thirdtask.entity.RiverFerry - River ferry is full
2020-10-11 20:00:55.140 [5 9000 river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - 5 9000 river ferry was loaded
2020-10-11 20:04:56.922 [Thread-1 2 3400 river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-1 2 3400 river ferry was loaded
2020-10-11 20:04:56.927 [Thread-35 4 6800 river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-35 4 6800 river ferry was loaded
2020-10-11 20:04:56.927 [Thread-4 River ferry is full and move to the unloadingain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-4 River ferry is full and move to the unloading
2020-10-11 20:05:16.929 [Thread-4 River ferry returns from unloading and starts to load carsain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-4 River ferry returns from unloading and starts to load cars
2020-10-11 20:05:16.930 [Thread-4 3 5600 river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-4 3 5600 river ferry was loaded
2020-10-11 20:05:16.931 [Thread-2 6 11200 river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-2 6 11200 river ferry was loaded
2020-10-11 20:05:16.931 [Thread-3 River ferry is full and move to the unloadingain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-3 River ferry is full and move to the unloading
2020-10-11 20:05:36.933 [Thread-3 River ferry returns from unloading and starts to load carsain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-3 River ferry returns from unloading and starts to load cars
2020-10-11 20:05:36.934 [Thread-3 2 3400 river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-3 2 3400 river ferry was loaded
2020-10-11 20:05:36.935 [Thread-5 4 6800 river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-5 4 6800 river ferry was loaded
2020-10-11 20:05:36.936 [Thread-6 River ferry is full and move to the unloadingain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-6 River ferry is full and move to the unloading
2020-10-11 20:05:56.938 [Thread-6 River ferry returns from unloading and starts to load carsain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-6 River ferry returns from unloading and starts to load cars
2020-10-11 20:05:56.938 [Thread-6 3 5600 river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-6 3 5600 river ferry was loaded
2020-10-11 20:05:56.938 [Thread-7 5 9000 river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-7 5 9000 river ferry was loaded
2020-10-11 20:05:56.939 [Thread-8 River ferry is full and move to the unloadingain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-8 River ferry is full and move to the unloading
2020-10-11 20:06:16.940 [Thread-8 River ferry returns from unloading and starts to load carsain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-8 River ferry returns from unloading and starts to load cars
2020-10-11 20:06:16.940 [Thread-8 3 5600 river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-8 3 5600 river ferry was loaded
2020-10-11 20:06:16.940 [Thread-9 5 9000 river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-9 5 9000 river ferry was loaded
2020-10-11 20:06:16.941 [Thread-10 River ferry is full and move to the unloadingain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-10 River ferry is full and move to the unloading
2020-10-11 20:06:36.942 [Thread-10 River ferry returns from unloading and starts to load carsain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-10 River ferry returns from unloading and starts to load cars
2020-10-11 20:06:36.942 [Thread-10 3 5600 river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-10 3 5600 river ferry was loaded
2020-10-11 20:06:36.942 [Thread-11 5 9000 river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-11 5 9000 river ferry was loaded
2020-10-11 20:06:36.943 [Thread-12 River ferry is full and move to the unloadingain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-12 River ferry is full and move to the unloading
2020-10-11 20:06:54.158 [Thread-1 by.epam.thirdtask.entity.impl.FreightCar 2 3400 river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-1 by.epam.thirdtask.entity.impl.FreightCar 2 3400 river ferry was loaded
2020-10-11 20:06:54.161 [Thread-4 by.epam.thirdtask.entity.impl.PassengerCar 5 9000 river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-4 by.epam.thirdtask.entity.impl.PassengerCar 5 9000 river ferry was loaded
2020-10-11 20:06:54.162 [Thread-3 River ferry is full and move to the unloadingain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-3 River ferry is full and move to the unloading
2020-10-11 20:07:14.164 [Thread-3 River ferry returns from unloading and starts to load carsain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-3 River ferry returns from unloading and starts to load cars
2020-10-11 20:07:14.165 [Thread-3 by.epam.thirdtask.entity.impl.FreightCar 2 3400 river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-3 by.epam.thirdtask.entity.impl.FreightCar 2 3400 river ferry was loaded
2020-10-11 20:07:14.166 [Thread-2 by.epam.thirdtask.entity.impl.PassengerCar 5 9000 river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-2 by.epam.thirdtask.entity.impl.PassengerCar 5 9000 river ferry was loaded
2020-10-11 20:07:14.168 [Thread-5 River ferry is full and move to the unloadingain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-5 River ferry is full and move to the unloading
2020-10-11 20:07:34.169 [Thread-5 River ferry returns from unloading and starts to load carsain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-5 River ferry returns from unloading and starts to load cars
2020-10-11 20:07:34.170 [Thread-5 by.epam.thirdtask.entity.impl.FreightCar 2 3400 river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-5 by.epam.thirdtask.entity.impl.FreightCar 2 3400 river ferry was loaded
2020-10-11 20:07:34.170 [Thread-6 by.epam.thirdtask.entity.impl.PassengerCar 5 9000 river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-6 by.epam.thirdtask.entity.impl.PassengerCar 5 9000 river ferry was loaded
2020-10-11 20:07:34.172 [Thread-7 River ferry is full and move to the unloadingain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-7 River ferry is full and move to the unloading
2020-10-11 20:07:46.641 [Thread-4 by.epam.thirdtask.entity.impl.PassengerCar 3 5600 was loaded on the river ferryain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-4 by.epam.thirdtask.entity.impl.PassengerCar 3 5600 was loaded on the river ferry
2020-10-11 20:07:46.646 [Thread-2 by.epam.thirdtask.entity.impl.PassengerCar 6 11200 was loaded on the river ferryain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-2 by.epam.thirdtask.entity.impl.PassengerCar 6 11200 was loaded on the river ferry
2020-10-11 20:07:46.646 [Thread-3 River ferry is full and move to the unloadingain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-3 River ferry is full and move to the unloading
2020-10-11 20:08:06.648 [Thread-3 River ferry returns from unloading and starts to load carsain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-3 River ferry returns from unloading and starts to load cars
2020-10-11 20:08:06.648 [Thread-3 by.epam.thirdtask.entity.impl.FreightCar 2 3400 was loaded on the river ferryain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-3 by.epam.thirdtask.entity.impl.FreightCar 2 3400 was loaded on the river ferry
2020-10-11 20:08:06.648 [Thread-1 by.epam.thirdtask.entity.impl.FreightCar 4 6800 was loaded on the river ferryain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-1 by.epam.thirdtask.entity.impl.FreightCar 4 6800 was loaded on the river ferry
2020-10-11 20:08:06.649 [Thread-5 by.epam.thirdtask.entity.impl.FreightCar 6 10200 was loaded on the river ferryain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-5 by.epam.thirdtask.entity.impl.FreightCar 6 10200 was loaded on the river ferry
2020-10-11 20:08:06.649 [Thread-6 River ferry is full and move to the unloadingain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-6 River ferry is full and move to the unloading
2020-10-11 20:08:26.651 [Thread-6 River ferry returns from unloading and starts to load carsain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-6 River ferry returns from unloading and starts to load cars
2020-10-11 20:08:26.651 [Thread-6 by.epam.thirdtask.entity.impl.PassengerCar 3 5600 was loaded on the river ferryain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-6 by.epam.thirdtask.entity.impl.PassengerCar 3 5600 was loaded on the river ferry
2020-10-11 20:08:26.651 [Thread-7 by.epam.thirdtask.entity.impl.FreightCar 5 9000 was loaded on the river ferryain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-7 by.epam.thirdtask.entity.impl.FreightCar 5 9000 was loaded on the river ferry
2020-10-11 20:08:26.651 [Thread-8 River ferry is full and move to the unloadingain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-8 River ferry is full and move to the unloading
2020-10-11 20:08:46.653 [Thread-8 River ferry returns from unloading and starts to load carsain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-8 River ferry returns from unloading and starts to load cars
2020-10-11 20:08:46.653 [Thread-8 by.epam.thirdtask.entity.impl.PassengerCar 3 5600 was loaded on the river ferryain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-8 by.epam.thirdtask.entity.impl.PassengerCar 3 5600 was loaded on the river ferry
2020-10-11 20:08:46.653 [Thread-9 by.epam.thirdtask.entity.impl.FreightCar 5 9000 was loaded on the river ferryain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-9 by.epam.thirdtask.entity.impl.FreightCar 5 9000 was loaded on the river ferry
2020-10-11 20:08:46.654 [Thread-10 River ferry is full and move to the unloadingain] INFO  by.epam.thirdtask.entity.RiverFerry - Thread-10 River ferry is full and move to the unloading
